agegroup,prevalence,prevalence.sm
<1   ,0,0.00292642947819699
01-04,0,0
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0.00357760915946103
30-34,0,0.00934266460162994
35-39,0.0140648088476873,0.0120480691165647
40-44,0.0435833120374389,0.0180828312300288
45-49,0.0393523812430028,0.0296989383830597
50-54,0.0215945403945826,0.047275600848038
55-59,0.0615585835749963,0.0784583513099455
60-64,0.0714391008557158,0.115912820999627
65-69,0.242481993582006,0.152845538317531
70-74,0.134626360576226,0.181858607970073
75-79,0.334016156723573,0.208956097719966
80-84,0.22857671704291,0.231532429082379
85+,0.194175671255501,0.250756121852388
