agegroup,prevalence,prevalence.sm
<1   ,0,0.000435124127396093
01-04,0,4.91974546636757e-05
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0
30-34,0,0
35-39,0,0
40-44,0,7.67295299346615e-05
45-49,0,0.00206747074421658
50-54,0.0175901560212978,0.0072576744684311
55-59,0,0.0186415400619262
60-64,0.0547017053499483,0.038606677507706
65-69,0.0339766698293531,0.0601956292033849
70-74,0.0818351075318278,0.0789815445567988
75-79,0.135979483400831,0.0984649348524317
80-84,0.173670869634044,0.117624679587055
85+,0.0804789403301375,0.136976784241029
