agegroup,prevalence,prevalence.sm
<1   ,0,0.00130512880485281
01-04,0,0
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0.000390321906311386
30-34,0,0.00299502125099398
35-39,0,0.00499478950207525
40-44,0.010008329997545,0.00730984065026934
45-49,0.0288431756594384,0.00778200761511404
50-54,0,0.00996603375825766
55-59,0.0156275755911338,0.0146225889392769
60-64,0.0105002777057677,0.0254888799322118
65-69,0.0260933991206,0.0395075930136916
70-74,0.079790140533601,0.0560639126851578
75-79,0.063813380539783,0.0757163245647006
80-84,0.127599167943362,0.0985419525141198
85+,0.105324443131744,0.124452547654702
