year,cause,agegroup,disease,pop,rate
2011,Cerebrovascular diseases,0,0,65286,0
2011,Cerebrovascular diseases,01-04,1,249493,4.0081284845667e-06
2011,Cerebrovascular diseases,05-09,0,279256,0
2011,Cerebrovascular diseases,10-14,1,291763,3.42743939430291e-06
2011,Cerebrovascular diseases,15-19,0,320711,0
2011,Cerebrovascular diseases,20-24,2,364334,5.48946845476953e-06
2011,Cerebrovascular diseases,25-29,2,366941,5.450467513851e-06
2011,Cerebrovascular diseases,30-34,6,358343,1.67437343550732e-05
2011,Cerebrovascular diseases,35-39,8,350838,2.28025470445049e-05
2011,Cerebrovascular diseases,40-44,18,382643,4.70412368709215e-05
2011,Cerebrovascular diseases,45-49,35,385911,9.06944865525989e-05
2011,Cerebrovascular diseases,50-54,38,342908,0.000110816895493835
2011,Cerebrovascular diseases,55-59,60,305561,0.000196360137583003
2011,Cerebrovascular diseases,60-64,102,326879,0.000312042070613285
2011,Cerebrovascular diseases,65-69,138,266276,0.000518259249800958
2011,Cerebrovascular diseases,70-74,271,205666,0.001317670397635
2011,Cerebrovascular diseases,75-79,412,162359,0.00253758645963575
2011,Cerebrovascular diseases,80-84,634,112249,0.00564815722189062
2011,Cerebrovascular diseases,85-89,652,60046,0.0108583419378477
2011,Cerebrovascular diseases,90+,552,24779,0.0222769280439082
