year,cause,agegroup,disease,pop,rate
2011,Ischaemic heart diseases,0,0,88822,0
2011,Ischaemic heart diseases,01-04,0,334616,0
2011,Ischaemic heart diseases,05-09,0,351431,0
2011,Ischaemic heart diseases,10-14,0,335950,0
2011,Ischaemic heart diseases,15-19,0,363651,0
2011,Ischaemic heart diseases,20-24,2,458921,4.35804855301893e-06
2011,Ischaemic heart diseases,25-29,6,487707,1.23024684903026e-05
2011,Ischaemic heart diseases,30-34,2,416645,4.80024961297988e-06
2011,Ischaemic heart diseases,35-39,8,364601,2.19417939062153e-05
2011,Ischaemic heart diseases,40-44,34,372754,9.12129715576493e-05
2011,Ischaemic heart diseases,45-49,51,352555,0.000144658280268327
2011,Ischaemic heart diseases,50-54,105,300515,0.000349400196329634
2011,Ischaemic heart diseases,55-59,134,250006,0.000535987136308729
2011,Ischaemic heart diseases,60-64,211,238224,0.000885721002082074
2011,Ischaemic heart diseases,65-69,317,188588,0.00168091288947335
2011,Ischaemic heart diseases,70-74,487,168150,0.00289622360987214
2011,Ischaemic heart diseases,75-79,727,145274,0.00500433663284552
2011,Ischaemic heart diseases,80-84,1029,117641,0.0087469504679491
2011,Ischaemic heart diseases,85-89,1054,78657,0.0133999516889787
2011,Ischaemic heart diseases,90+,961,45581,0.0210833461310634
