agegroup,prevalence,prevalence.sm
<1   ,0,0.00241019659676844
01-04,0,0
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,7.50008778840731e-05
30-34,0,0.00040813242241016
35-39,0,0.00482021503097227
40-44,0.0311595023461996,0.0137582319188334
45-49,0.0225716501780649,0.0345346957489127
50-54,0.0118131112653752,0.0588614318791473
55-59,0.113396458747782,0.0827297876843889
60-64,0.134756449294667,0.103997764183714
65-69,0.148626118625558,0.132448349900752
70-74,0.163357592947629,0.174888243166713
75-79,0.153467840346425,0.22568369366925
80-84,0.219883745180307,0.286137716382324
85+,0.437395427654068,0.355690492481605
