year,cause,agegroup,disease,pop,rate
2011,Ischaemic heart diseases,0,0,92527,0
2011,Ischaemic heart diseases,01-04,0,350561,0
2011,Ischaemic heart diseases,05-09,0,368071,0
2011,Ischaemic heart diseases,10-14,1,349514,2.86111572068644e-06
2011,Ischaemic heart diseases,15-19,1,375509,2.66305201739506e-06
2011,Ischaemic heart diseases,20-24,3,440037,6.81760851928361e-06
2011,Ischaemic heart diseases,25-29,8,470813,1.69918842512845e-05
2011,Ischaemic heart diseases,30-34,19,425700,4.46323702137656e-05
2011,Ischaemic heart diseases,35-39,58,375020,0.000154658418217695
2011,Ischaemic heart diseases,40-44,131,374620,0.0003496876835193
2011,Ischaemic heart diseases,45-49,232,349200,0.000664375715922108
2011,Ischaemic heart diseases,50-54,386,299976,0.00128676960823533
2011,Ischaemic heart diseases,55-59,513,251845,0.0020369671821954
2011,Ischaemic heart diseases,60-64,692,238308,0.00290380515970928
2011,Ischaemic heart diseases,65-69,833,179336,0.00464491234331088
2011,Ischaemic heart diseases,70-74,1014,147913,0.00685538120381576
2011,Ischaemic heart diseases,75-79,1159,113297,0.0102297501257756
2011,Ischaemic heart diseases,80-84,1122,76062,0.0147511240829849
2011,Ischaemic heart diseases,85-89,914,39943,0.0228826077159953
2011,Ischaemic heart diseases,90+,453,15378,0.0294576667967226
