year,cause,agegroup,disease,pop,rate
2011,Cerebrovascular diseases,0,0,77865,0
2011,Cerebrovascular diseases,01-04,0,288482,0
2011,Cerebrovascular diseases,05-09,0,303487,0
2011,Cerebrovascular diseases,10-14,0,301938,0
2011,Cerebrovascular diseases,15-19,2,337634,5.92357404763738e-06
2011,Cerebrovascular diseases,20-24,3,420904,7.12751601315264e-06
2011,Cerebrovascular diseases,25-29,2,445918,4.48512955296714e-06
2011,Cerebrovascular diseases,30-34,9,421084,2.13734076811278e-05
2011,Cerebrovascular diseases,35-39,11,376267,2.92345595016305e-05
2011,Cerebrovascular diseases,40-44,19,382701,4.96471135429487e-05
2011,Cerebrovascular diseases,45-49,38,370319,0.000102614232594061
2011,Cerebrovascular diseases,50-54,61,319226,0.000191087192146003
2011,Cerebrovascular diseases,55-59,72,273288,0.00026345832967419
2011,Cerebrovascular diseases,60-64,105,273958,0.000383270428313829
2011,Cerebrovascular diseases,65-69,158,213864,0.000738787266674148
2011,Cerebrovascular diseases,70-74,259,169283,0.00152998233726954
2011,Cerebrovascular diseases,75-79,428,132651,0.00322651167348908
2011,Cerebrovascular diseases,80-84,572,92330,0.006195169500704
2011,Cerebrovascular diseases,85-89,527,49681,0.0106076769791268
2011,Cerebrovascular diseases,90+,351,20064,0.017494019138756
