year,cause,agegroup,disease,pop,rate
2011,Cerebrovascular diseases,0,1,54787,1.82525051563327e-05
2011,Cerebrovascular diseases,01-04,0,235926,0
2011,Cerebrovascular diseases,05-09,0,301618,0
2011,Cerebrovascular diseases,10-14,1,327135,3.05684197655402e-06
2011,Cerebrovascular diseases,15-19,1,342137,2.92280577663334e-06
2011,Cerebrovascular diseases,20-24,2,279235,7.16242591365696e-06
2011,Cerebrovascular diseases,25-29,0,247195,0
2011,Cerebrovascular diseases,30-34,2,260447,7.67910553778696e-06
2011,Cerebrovascular diseases,35-39,6,324008,1.85180612824375e-05
2011,Cerebrovascular diseases,40-44,4,395851,1.01048121641729e-05
2011,Cerebrovascular diseases,45-49,15,418695,3.58256009744563e-05
2011,Cerebrovascular diseases,50-54,30,374236,8.01633194027298e-05
2011,Cerebrovascular diseases,55-59,46,328996,0.000139819329110384
2011,Cerebrovascular diseases,60-64,69,355178,0.0001942687891705
2011,Cerebrovascular diseases,65-69,106,289304,0.000366396593202998
2011,Cerebrovascular diseases,70-74,183,217174,0.000842642305248326
2011,Cerebrovascular diseases,75-79,364,175982,0.00206839335841166
2011,Cerebrovascular diseases,80-84,520,121866,0.00426698176685868
2011,Cerebrovascular diseases,85-89,622,63848,0.00974188698158126
2011,Cerebrovascular diseases,90+,546,25318,0.0215656844932459
