agegroup,prevalence,prevalence.sm
<1   ,0,0.000531608346657164
01-04,0,9.22780384771049e-05
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0
30-34,0,0
35-39,0,0
40-44,0,0.000116403780209278
45-49,0,0.0133848149621853
50-54,0,0.0301573099331577
55-59,0.0863427450074934,0.0494832801644401
60-64,0.0649498763469267,0.0679230564085919
65-69,0.116287424191246,0.0912282332595633
70-74,0.123660174917382,0.122741596929443
75-79,0.101841067720293,0.159611784235612
80-84,0.177303921110731,0.202263990182735
85+,0.292183411974334,0.250571093470732
