year,cause,agegroup,disease,pop,rate
2011,Cerebrovascular diseases,0,0,61953,0
2011,Cerebrovascular diseases,01-04,0,238700,0
2011,Cerebrovascular diseases,05-09,1,266618,3.75068449992124e-06
2011,Cerebrovascular diseases,10-14,0,278494,0
2011,Cerebrovascular diseases,15-19,1,305958,3.26842246321391e-06
2011,Cerebrovascular diseases,20-24,2,352314,5.67675425898488e-06
2011,Cerebrovascular diseases,25-29,1,364067,2.74674716467024e-06
2011,Cerebrovascular diseases,30-34,5,354456,1.41061231859526e-05
2011,Cerebrovascular diseases,35-39,5,349915,1.42891845162397e-05
2011,Cerebrovascular diseases,40-44,13,387914,3.35125826858531e-05
2011,Cerebrovascular diseases,45-49,25,390965,6.39443428439886e-05
2011,Cerebrovascular diseases,50-54,32,349327,9.16047142076049e-05
2011,Cerebrovascular diseases,55-59,55,316601,0.000173720234617073
2011,Cerebrovascular diseases,60-64,59,341325,0.00017285578261188
2011,Cerebrovascular diseases,65-69,119,281724,0.000422399227612841
2011,Cerebrovascular diseases,70-74,193,227097,0.000849857109517079
2011,Cerebrovascular diseases,75-79,438,195873,0.0022361428068187
2011,Cerebrovascular diseases,80-84,819,159397,0.00513811426814808
2011,Cerebrovascular diseases,85-89,1149,110125,0.010433598183882
2011,Cerebrovascular diseases,90+,1488,68456,0.0217365899263761
