year,cause,agegroup,disease,pop,rate
2011,Cerebrovascular diseases,0,0,57427,0
2011,Cerebrovascular diseases,01-04,2,231364,8.64438719939144e-06
2011,Cerebrovascular diseases,05-09,0,278067,0
2011,Cerebrovascular diseases,10-14,0,299916,0
2011,Cerebrovascular diseases,15-19,3,325070,9.22878149321684e-06
2011,Cerebrovascular diseases,20-24,0,311038,0
2011,Cerebrovascular diseases,25-29,2,295057,6.77835130161291e-06
2011,Cerebrovascular diseases,30-34,2,299708,6.67316187756083e-06
2011,Cerebrovascular diseases,35-39,6,329524,1.82080819606463e-05
2011,Cerebrovascular diseases,40-44,13,386103,3.36697720556432e-05
2011,Cerebrovascular diseases,45-49,28,401975,6.96560731388768e-05
2011,Cerebrovascular diseases,50-54,40,362642,0.000110301619779286
2011,Cerebrovascular diseases,55-59,51,325094,0.000156877703064344
2011,Cerebrovascular diseases,60-64,86,357675,0.000240441741804711
2011,Cerebrovascular diseases,65-69,147,293833,0.000500284175024589
2011,Cerebrovascular diseases,70-74,239,223542,0.00106915031627166
2011,Cerebrovascular diseases,75-79,364,176838,0.0020583811171807
2011,Cerebrovascular diseases,80-84,613,121685,0.00503759707441344
2011,Cerebrovascular diseases,85-89,659,64588,0.0102031337090481
2011,Cerebrovascular diseases,90+,509,26264,0.0193801401157478
