agegroup,prevalence,prevalence.sm
<1   ,0,0.00133799159435293
01-04,0,9.03667052788385e-05
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0
30-34,0,0
35-39,0,0.00187199940535939
40-44,0,0.00622079462291838
45-49,0.0182737238696978,0.0135340769871753
50-54,0.0216155808953433,0.022810552974163
55-59,0.0269865925748204,0.0323792312956712
60-64,0.0691252922221439,0.0426827844604569
65-69,0.0312582130477413,0.0589254727701258
70-74,0.106612699779291,0.0857768991986577
75-79,0.0712138221507249,0.11955743204777
80-84,0.118519230986586,0.161596919678674
85+,0.262791991322374,0.21122356079692
