year,cause,agegroup,disease,pop,rate
2011,Ischaemic heart diseases,0,1,57427,1.74134118097759e-05
2011,Ischaemic heart diseases,01-04,0,231364,0
2011,Ischaemic heart diseases,05-09,0,278067,0
2011,Ischaemic heart diseases,10-14,0,299916,0
2011,Ischaemic heart diseases,15-19,0,325070,0
2011,Ischaemic heart diseases,20-24,1,311038,3.21504124897922e-06
2011,Ischaemic heart diseases,25-29,0,295057,0
2011,Ischaemic heart diseases,30-34,7,299708,2.33560665714629e-05
2011,Ischaemic heart diseases,35-39,23,329524,6.97976475158107e-05
2011,Ischaemic heart diseases,40-44,52,386103,0.000134679088222573
2011,Ischaemic heart diseases,45-49,103,401975,0.000256234840475154
2011,Ischaemic heart diseases,50-54,160,362642,0.000441206479117146
2011,Ischaemic heart diseases,55-59,218,325094,0.000670575279765237
2011,Ischaemic heart diseases,60-64,483,357675,0.00135038792199623
2011,Ischaemic heart diseases,65-69,618,293833,0.00210323551132786
2011,Ischaemic heart diseases,70-74,781,223542,0.00349375061509694
2011,Ischaemic heart diseases,75-79,1064,176838,0.00601680634252819
2011,Ischaemic heart diseases,80-84,1315,121685,0.0108065907876895
2011,Ischaemic heart diseases,85-89,1303,64588,0.0201740261348857
2011,Ischaemic heart diseases,90+,850,26264,0.0323636917453549
