agegroup,prevalence,prevalence.sm
<1   ,0,0.000182460312345965
01-04,0,0
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0.000265015950126119
25-29,0,0.000667971342336609
30-34,0,0.00119760799750252
35-39,0,0.000593582631897835
40-44,0.00898429168370117,0.000387598323312685
45-49,0,0
50-54,0,0.000661366501140916
55-59,0,0.0066291492284206
60-64,0.013851941679536,0.0170267494723392
65-69,0.00847236334955392,0.0297059268722879
70-74,0.0847737238920506,0.043507310340401
75-79,0.0530738866046915,0.0594557161295187
80-84,0.0860780892943909,0.0772464062198991
85+,0.0849080625321372,0.0969605594075373
