agegroup,prevalence,prevalence.sm
<1   ,0,0.000593017053699939
01-04,0,0
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0
30-34,0,0
35-39,0,0
40-44,0.0067775768111063,0.000461281570762088
45-49,0,0.00323931391135551
50-54,0.0162939770748168,0.0100072595194772
55-59,0.00849635861821884,0.0230946836127978
60-64,0.0503797936457963,0.049274642914045
65-69,0.0661244534215656,0.0776937770819485
70-74,0.111326825717777,0.102192042898413
75-79,0.125968049583245,0.127430998003639
80-84,0.289038406056599,0.151872887569949
85+,0.076914028965494,0.176369182391089
