agegroup,prevalence,prevalence.sm
<1   ,0,0.0011118026401593
01-04,0,8.22610770646556e-05
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0
30-34,0,0
35-39,0,0.00214873063877255
40-44,0,0.00538193320878786
45-49,0.0131513575514833,0.00976087135964726
50-54,0.021311613670988,0.0151332794664191
55-59,0.0204781634539805,0.0202674634266767
60-64,0.02254926467395,0.0281575817353847
65-69,0.0360669477245346,0.0376860893514745
70-74,0.0570396638070748,0.0488603639551378
75-79,0.0259029516921063,0.0615619111950204
80-84,0.120732614391845,0.0758958327431688
85+,0.0751431886077592,0.0918629326178348
